Name,Rating,Review,Salaries,Interviews,Jobs,Benefits,Photos
InterGlobe Aviation,3.4,(3.5k),14.2k,390,29,328,5
Jindal Stainless,4.1,(3.5k),12.3k,348,143,220,13
HARMAN,3.8,(3.5k),24.2k,305,128,114,3
Conduent,3.4,(3.5k),17.4k,251,209,383,10
Tata Technologies,3.4,(3.5k),23.9k,323,321,328,14
Tata AutoComp Systems,3.6,(3.5k),12.1k,231,105,197,6
Tata AIG,3.9,(3.4k),12.4k,205,54,250,6
GeBBS Healthcare Solutions,3.8,(3.4k),11.5k,193,68,305,11
Indian Air Force,4.6,(3.4k),5.5k,91,2,361,--
Canara HSBC Life Insurance,4.1,(3.4k),6.5k,581,5,182,10
PepsiCo,4.0,(3.4k),14.8k,263,274,276,19
Max Healthcare,4.0,(3.4k),10.8k,212,126,306,26
UPL,4.1,(3.4k),11.3k,238,50,303,2
Mankind Pharma,3.8,(3.3k),10k,273,16,267,15
Titan Company,4.2,(3.3k),10.2k,228,119,354,16
Quest Global,3.5,(3.3k),22.8k,387,256,215,--
MSN Laboratories,3.6,(3.3k),10.2k,188,35,169,7
Varroc Group,3.6,(3.3k),9.9k,233,40,259,5
Amazon Transportation Services,4.2,(3.3k),8.8k,268,--,259,27
Ola Electric Mobility,3.3,(3.3k),10.1k,321,7,103,32
Societe Generale Global Solution Centre,3.6,(3.3k),23.7k,310,13,308,--
Ambuja Cements,3.8,(3.3k),8.9k,262,28,313,6
Dilip Buildcon,3.8,(3.3k),8k,202,12,304,26
IDFC FIRST Bharat,4.1,(3.3k),5.3k,172,5,99,2
Walmart,3.4,(3.3k),25.4k,455,224,329,12
Afcons Infrastructure,4.2,(3.3k),8.8k,287,52,331,15
S&P Global,3.9,(3.3k),21.7k,346,102,237,2
Zepto,3.6,(3.3k),12k,507,33,78,17
Allcargo Logistics,3.8,(3.3k),6.8k,144,15,337,10
ESAF Small Finance Bank,3.6,(3.3k),8.2k,188,7,118,23
DS Group,4.0,(3.3k),8.2k,246,34,235,7
Torrent Pharmaceuticals,4.0,(3.3k),10.5k,196,34,349,3
Bharat Financial Inclusion,3.7,(3.3k),5.6k,132,4,187,30
Suzlon Group,4.0,(3.2k),7.7k,195,32,340,5
Tata Elxsi,3.4,(3.2k),24.7k,350,83,222,8
Indus Towers,3.6,(3.2k),9.7k,249,56,234,11
Eternal Limited,3.5,(3.2k),15.9k,381,15,235,12
Zensar Technologies,3.5,(3.2k),25.9k,292,349,258,26
Fujitsu,3.8,(3.1k),17.8k,215,117,209,19
Marpu Foundation,4.9,(3.1k),61,266,--,8,5
VVDN Technologies,3.6,(3.1k),14.6k,275,20,138,12
HDFC Sales,3.9,(3.1k),8.2k,204,30,192,2
Yazaki,3.9,(3.1k),9.5k,208,28,287,3
IKS Health,3.5,(3.1k),11.9k,281,21,249,72
Shree Cement,3.7,(3.1k),10.4k,254,22,238,15
Exl India,3.5,(3.1k),19.7k,142,1,198,1
I Process Services,3.8,(3.1k),5.5k,144,7,119,4
Physicswallah,3.6,(3.1k),10.2k,326,365,92,11
ACC,3.9,(3.1k),9.2k,245,--,274,8
CMS IT Services,3.0,(3.1k),9.1k,164,72,190,7
Square Yards,3.5,(3.1k),9.8k,262,50,225,37
Nokia,4.0,(3.1k),17.7k,339,68,556,15
Future Group,4.3,(3k),6.1k,87,--,400,3
Foxconn,3.8,(3k),12.8k,269,12,148,4
Shoppers Stop,3.9,(3k),7.1k,155,50,322,18
Apollo Tyres,4.0,(3k),10.2k,161,19,339,7
Fiserv,2.7,(3k),17.6k,205,21,327,11
Britannia,4.0,(3k),8.7k,254,45,260,8
Dalmia Bharat Cement,3.9,(3k),42,217,76,260,16
ZS,3.0,(3k),22.9k,544,85,287,23
Star Health & Allied Insurance,3.5,(3k),10.9k,167,55,179,17
Landmark Group,3.8,(3k),9.7k,182,4,274,9
SRF,4.1,(3k),9.4k,218,9,264,5
Kansai Nerolac Paints,3.8,(2.9k),8.5k,203,67,195,7
Nestlé,3.7,(2.9k),10.4k,301,26,316,20
Blue Dart Express Ltd,3.9,(2.9k),7k,141,13,248,9
Dalmia Bharat Cement,,,--,--,--,--,--
Exide Industries,3.4,(2.9k),9.1k,228,63,248,6
Tata Advanced Systems,3.7,(2.9k),13.6k,203,13,165,9
Blue Star,4.0,(2.8k),10.2k,211,275,263,18
Shell,3.9,(2.8k),14.5k,245,21,261,8
Gallagher,3.6,(2.8k),15.2k,290,23,154,1
TVS Supply Chain Solutions,3.8,(2.8k),8.6k,174,17,195,21
Micro Labs,3.6,(2.8k),10k,158,15,210,4
KPMG Global Services,3.4,(2.8k),24.7k,280,25,20,--
Flex,3.9,(2.8k),15.4k,218,47,445,14
Photon Interactive,4.0,(2.8k),7.8k,146,512,117,--
KFintech,3.3,(2.8k),11.4k,181,24,61,2
UnitedHealth,4.0,(2.8k),13.1k,84,--,435,--
Care Health Insurance,3.5,(2.8k),9.2k,177,31,185,11
Ajanta Pharma,3.9,(2.8k),9.3k,174,22,237,10
G4S,4.0,(2.8k),5.3k,145,163,248,15
Voltas,4.0,(2.8k),8.8k,183,41,265,3
ACT Fibernet,3.9,(2.8k),8k,187,220,286,10
ElasticRun,3.6,(2.8k),6.7k,283,7,228,45
Sonalika Tractors,3.5,(2.8k),9.4k,180,--,189,4
Movate,3.1,(2.8k),15.7k,304,245,18,24
Adani Power,3.8,(2.8k),10.4k,345,--,184,11
GAO Tek,4.4,(2.8k),270,820,--,157,1
NoBroker,3.0,(2.8k),11.4k,297,553,368,25
DBS Bank,3.7,(2.7k),13.4k,213,384,199,11
BlackBuck,3.7,(2.7k),6.8k,230,56,248,13
Capita,3.5,(2.7k),12.2k,170,19,326,3
Himalaya Wellness,3.9,(2.7k),6.1k,159,174,264,9
IntouchCX,2.8,(2.8k),10.8k,248,75,170,18
Foundever,3.3,(2.7k),9.6k,200,76,222,15
Laurus Labs,4.3,(2.7k),7.6k,165,4,232,11
Domino's Pizza,3.9,(2.7k),4.4k,148,1,399,16
BT Group,3.8,(2.7k),12.3k,239,21,294,24
Fortis Healthcare,4.1,(2.7k),7.9k,202,1.7k,154,3
Whitehat jr,3.3,(2.7k),8.4k,266,--,926,3
JCB,3.9,(2.7k),10.2k,186,--,252,8
CorroHealth Infotech,3.6,(2.7k),8.4k,293,192,40,19
V-Mart,4.0,(2.7k),4.7k,206,12,229,18
TaskUs,2.9,(2.6k),10.6k,244,132,149,16
Alldigi Tech,3.8,(2.6k),7.7k,244,3,117,33
Adani Group,3.8,(2.7k),12.4k,329,853,131,9
ICICI Securities,3.9,(2.6k),9.9k,202,73,203,4
Northern Trust Operating Services,3.6,(2.6k),18k,249,111,235,13
Sahrudaya Healthcare (Medicover Hospitals),4.3,(2.6k),3.8k,148,26,1,4
Sterlite Technologies,3.8,(2.6k),9.9k,192,114,216,10
Tractors and Farm Equipment,4.0,(2.6k),8.5k,142,28,290,9
Bajaj Electricals,3.8,(2.6k),7.1k,166,74,296,6
Cadila Pharmaceuticals,3.0,(2.6k),8.5k,183,60,190,13
Biocon Limited,4.0,(2.6k),11.6k,193,26,24,1
Parle Agro,3.9,(2.6k),7.2k,159,10,231,9
Hero FinCorp,3.9,(2.6k),6k,125,40,133,3
Emcure Pharmaceuticals,3.6,(2.6k),8.9k,141,101,257,13
Team Computers,3.8,(2.6k),8.9k,231,228,170,6
Intellect Design Arena,3.4,(2.6k),14.2k,185,19,121,8
Syngene International,3.7,(2.6k),12.9k,196,6,227,16
Planet Spark,3.7,(2.5k),3.9k,613,60,213,2
Newgen Software Technologies,4.1,(2.6k),11.8k,213,31,155,13
Mahindra Holidays & Resorts,3.5,(2.5k),6.2k,138,61,205,17
RMSI,3.5,(2.5k),9.2k,203,9,199,4
Datamatics Global Services,3.3,(2.5k),11.7k,184,93,179,5
Mahindra Rural Housing Finance,4.0,(2.5k),4.8k,110,9,180,6
McDonald's,3.8,(2.5k),5.1k,168,1,407,7
Bureau Veritas,3.8,(2.5k),8.7k,154,32,198,12
Cholamandalam MS General Insurance,3.6,(2.5k),6k,121,--,176,4
TCE,3.9,(2.5k),10.5k,313,46,195,9
3i Infotech,3.4,(2.5k),10.6k,173,87,155,3
Paras Hospital,4.1,(2.5k),3.3k,112,90,129,44
Lodha,4.2,(2.5k),9.3k,190,194,190,9
Aavas Financiers,3.9,(2.5k),5.7k,130,76,144,10
Patanjali Ayurved,3.9,(2.5k),5.9k,144,--,241,3
